Tipo,Nombre,Región,Provincia,Logo,Link,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
Parque Nacional,Baritú,Noroeste,Salta,logos\emblema_fichas_-_pn_baritu.png,Ficha del área protegida | Argentina.gob.ar,#0A0B08,#422C23,#48533F,#505C63,#638C4D,#644427,#8196A2,#8AB167,#8C7D41,#99CECA,#B4747C,#F2D255
Reserva Nacional ,El Nogalar de Los Toldos,Noroeste,Salta,logos\emblema_fichas_-_rn_el_nogalar_de_los_toldos.png,Ficha del área protegida | Argentina.gob.ar,#141B0F,#422E24,#4C5F3F,#5C656A,#6C8F53,#6E5033,#94ACB5,#A2AE7F,#A8CFDD,#C49C74,#CCCDD4,#F7DA4D
Parque Nacional,El Rey,Noroeste,Salta,logos\emblema_fichas_-_pn_el_rey.png,Ficha del área protegida | Argentina.gob.ar,#111510,#422F26,#4B6441,#5E8556,#64534A,#676E6B,#8F947D,#90A5AC,#9BBECA,#ACB44C,#B4943C,#F5DA50
Parque Nacional,Los Cardones,Noroeste,Salta,logos\emblema_fichas_-_pn_los_cardones.png,Ficha del área protegida | Argentina.gob.ar,#0E0E0B,#422E24,#5F5E42,#644B35,#656768,#6D7B4D,#96856F,#9CD4F3,#B2AB9C,#C53B45,#F2D653,#F3E4C0
Reserva Nacional ,Pizarro,Noroeste,Salta,logos\emblema_fichas_-_rn_pizarro.png,Ficha del área protegida | Argentina.gob.ar,#090908,#432D24,#515D49,#544A4D,#668352,#736B6C,#94B3BC,#9CD3F2,#A4907F,#C8557F,#D2AEB9,#F5D25E
Parque Nacional,Aconquija,Noroeste,Tucumán,logos\emblema_fichas_-_pn_aconquija.png,Ficha del área protegida | Argentina.gob.ar,#3D2922,#434C54,#435459,#523E2B,#5F6466,#78634F,#8C7035,#917E4B,#9ED4F3,#9F9586,#C6DBAE,#ECCD6F
Parque Nacional,Calilegua,Noroeste,Jujuy,logos\emblema_fichas_-_pn_calilegua.png,Ficha del área protegida | Argentina.gob.ar,#0F120F,#422F25,#4E565A,#5B6C3C,#5C7F76,#8D744A,#91A3AC,#94AE5D,#9BD2EA,#D8D6C2,#DA3948,#EBD150
Monumento Natural ,Laguna de los Pozuelos,Noroeste,Jujuy,logos\emblema_ficha_-_mn_laguna_de_los_pozuelos.png,Ficha del área protegida | Argentina.gob.ar,#37576D,#3D2B24,#406C96,#445454,#44749A,#6784A0,#6BA4DB,#834137,#98C9EA,#A58971,#CCB13C,#F9DE71
Parque Nacional,Copo,Noroeste,Santiago del Estero,logos\emblema_fichas_-_pn_copo.png,Ficha del área protegida | Argentina.gob.ar,#0F100D,#422D24,#464748,#5C6738,#656B66,#6C7548,#839CAC,#888A47,#9DD1E9,#B4943C,#DDCA53,#E3DFD5
Parque Nacional,Iguazú, Noreste,Misiones,logos\emblema_fichas_-_pn_iguazu.png,Ficha del área protegida | Argentina.gob.ar,#0D0C0B,#452E27,#4A6378,#664A3D,#685943,#719D54,#73A8D6,#8E6C58,#9CD3F2,#A6B653,#BC9452,#F2DB68
Parque Federal,Campo San Juan, Noreste,Misiones,logos\parque_federal_campo_san_juan_emblema.png,Ficha del área protegida | Argentina.gob.ar,#292E28,#675E48,#7E702A,#7F8E43,#82C8E9,#953835,#9C9C9C,#A55F63,#C4D4AC,#CABA63,#D6C46A,#E1DFDB
Reserva Nacional Estricta ,San Antonio, Noreste,Misiones,logos\emblema_ficha_rne_san_antonio.png,Ficha del área protegida | Argentina.gob.ar,#091B11,#435C6B,#435E30,#438A4F,#482C1E,#674120,#6A99AF,#845B2B,#8CD8EA,#CB1B36,#D6E2C0,#F1D311
Parque Nacional,Chaco, Noreste,Chaco,logos\emblema_fichas_-_pn_chaco.png,Ficha del área protegida | Argentina.gob.ar,#141511,#402D25,#5B5644,#5C6060,#6B2925,#6C92A8,#70865D,#937D51,#9CCAD3,#AFBC51,#CC443A,#E6C95B
Parque Nacional,El Impenetrable, Noreste,Chaco,logos\emblema_fichas_-_pn_el_impenetrable.png,Ficha del área protegida | Argentina.gob.ar,#0C1015,#422E26,#51574C,#5B7F4C,#5E6769,#7EA4B8,#806955,#9CD4F3,#AA9A74,#ADBC5A,#BC9C75,#F4D955
Parque Nacional,Laguna el Palmar, Noreste,Chaco,logos\pn_laguna_el_palmar_emblema_ficha.png,Ficha del área protegida | Argentina.gob.ar,#131717,#492C20,#547CA4,#5A4E6F,#615A3F,#6C3F36,#6C8062,#7BABDA,#8FD7EF,#9C8F3A,#C4A410,#F6DC17
Reserva Nacional  Educativa,Colonia Benítez, Noreste,Chaco,logos\emblema_fichas_-_rne_colonia_benitez.png,Ficha del área protegida | Argentina.gob.ar,#0F1213,#3E3F49,#412D24,#4C573D,#5E6187,#638C56,#72A9D8,#928A71,#9BD3F3,#A8B44C,#B48C5C,#F3D64F
Parque Nacional,Iberá, Noreste,Corrientes,logos\emblema_fichas_-_pn_ibera.png,Ficha del área protegida | Argentina.gob.ar,#161820,#422F26,#445F76,#4C779D,#555D3A,#664931,#6B8E54,#72A8D8,#8E8B52,#9BD1E3,#CB433E,#F4D751
Parque Nacional,Mburucuyá, Noreste,Corrientes,logos\emblema_fichas_-_pn_mburucuya.png,Ficha del área protegida | Argentina.gob.ar,#0D1210,#422D25,#4C7BA4,#4F6140,#57646D,#65452E,#667865,#72AAD9,#94965B,#9CD3F2,#BC847C,#F6E06D
Parque Nacional,Río Pilcomayo, Noreste,Formosa,logos\emblema_fichas_-_pn_rio_pilcomayo.png,Ficha del área protegida | Argentina.gob.ar,#101414,#422D24,#425A69,#50553F,#628CAD,#677760,#8ABCDB,#977B4C,#97A45A,#BC7443,#E5C06A,#E6D3B3
Monumento Natural ,Formosa, Noreste,Formosa,logos\emblema_fichas_-_rn_formosa.png,Ficha del área protegida | Argentina.gob.ar,#111510,#412E25,#5C6146,#5D676A,#61834E,#65482D,#769FB7,#9CD4F4,#A59075,#B4BC4C,#C64141,#F3D653
Parque Nacional,Quebrada del Condorito,Centro,Córdoba,logos\emblema_fichas_-_pn_quebrada_del_condorito.png,Ficha del área protegida | Argentina.gob.ar,#3B2820,#3C5A74,#3E4D55,#446471,#584230,#60743D,#959B58,#A4CCE0,#B1A58B,#B4DC5F,#F0EDD9,#F9DE4C
Parque Nacional,Traslasierra,Centro,Córdoba,logos\emblema_fichas_-_pn_traslasierra.png,Ficha del área protegida | Argentina.gob.ar,#0A0C09,#422C24,#4F6068,#50583E,#687B5C,#6F201D,#7B9CA4,#958E5F,#9CD1E6,#D3453E,#E2C967,#E7D5BA
Parque Nacional,Ansenuza,Centro,Córdoba,logos\pn_ansenuza_emblema_web.png,Ficha del área protegida | Argentina.gob.ar,#2C4C8C,#315A79,#462A1E,#566A7D,#7BADDD,#8CDCFB,#917344,#92928A,#A91E23,#AFC6C1,#E9322B,#F7DB60
Reserva Nacional  Educativa,Cerro Pistarini,Centro,Córdoba,logos\rned_cerro_pistarini_ficha.png,Ficha del área protegida | Argentina.gob.ar,#0D110C,#4A3020,#58875E,#6F7251,#6FA1B7,#70706D,#734E1F,#8F8276,#91D8DD,#BC1C3B,#C6C9C7,#F4D40B
Parque Nacional,El Leoncito,Centro,San Juan,logos\emblema_fichas_-_pn_el_leoncito.png,Parque Nacional El Leoncito | Argentina.gob.ar,#3E2922,#44687C,#447461,#4E3929,#587353,#635655,#796F59,#92857D,#A18934,#B8C1C7,#CED9A1,#D0C091
Parque Nacional,San Guillermo,Centro,San Juan,logos\emblema_fichas_-_pn_san_guillermo.png,Ficha del área protegida | Argentina.gob.ar,#3E2821,#44647C,#446C84,#52382C,#6F4848,#80524E,#8D7432,#A88267,#AED7EA,#BDA49E,#E2C37A,#FADF4E
Parque Nacional,Sierra de las Quijadas,Centro,San Luis,logos\emblema_fichas_-_pn_sierra_de_las_quijadas.png,Ficha del área protegida | Argentina.gob.ar,#3D2820,#3E7494,#415F68,#447C9C,#60412B,#6B6244,#976647,#9CD4F3,#C08257,#CEAF8D,#F4D650,#FAF3CC
Parque Nacional,Talampaya,Centro,La Rioja,logos\pn_talampaya_-_emblema_fichas.png,Ficha del área protegida | Argentina.gob.ar,#261917,#4B3129,#60604F,#684845,#77666A,#8C6049,#8EA6B3,#9E7B58,#A0D5F2,#B4645E,#C08667,#FADE4C
Parque Nacional,Islas de Santa Fe,Centro,Santa Fe,logos\emblema_fichas_-_pn_islas_de_santa_fe.png,Ficha del área protegida | Argentina.gob.ar,#0B0E0C,#30444D,#432C23,#476371,#5184AE,#5A5D3D,#628251,#71A1B7,#8C5F45,#9BD2ED,#B47C5C,#F7DC50
Parque Nacional,Pre-Delta,Centro,Entre Ríos,logos\emblema_fichas_-_pn_pre-delta.png,Ficha del área protegida | Argentina.gob.ar,#090C0B,#2A3C54,#422B23,#447484,#546068,#648040,#719FB3,#7E3A1B,#89846F,#9CD4F4,#B46234,#F2D553
Parque Nacional,El Palmar,Centro,Entre Ríos,logos\emblema_fichas_-_pn_el_palmar.png,Ficha del área protegida | Argentina.gob.ar,#0C0E0D,#412D25,#575B45,#5B5F60,#644B2E,#6B7C52,#8998A2,#949D6B,#9CD4F1,#A7B470,#BC9484,#F2DB5F
Parque Nacional,Ciervo de los Pantanos,Centro,Provincia de Buenos Aires,logos\emblema_fichas_-_pn_ciervo_de_los_pantanos.png,Ficha del área protegida | Argentina.gob.ar,#1E1B14,#3C648C,#442D24,#45444C,#556042,#775936,#887824,#8D8C53,#A1D4EF,#B2BA84,#BECD8E,#F9DD4C
Parque Nacional,Campos del Tuyú,Centro,Provincia de Buenos Aires,logos\emblema_fichas_-_pn_campos_del_tuyu.png,Ficha del área protegida | Argentina.gob.ar,#3A271F,#3C5367,#44748C,#447CB4,#53442C,#5C613B,#9AD0F1,#9E995A,#B1A48B,#CCDCA1,#EFEBD8,#FADE4B
Parque Nacional,Lanín,Patagonia,Neuquén,logos\emblema_fichas_-_pn_lanin.png,,#0B0E0B,#402D24,#535C65,#555641,#5B7D69,#644446,#83859E,#8F865E,#91C6E5,#9BBA73,#B68C8E,#EBD464
Parque Nacional,Laguna Blanca,Patagonia,Neuquén,logos\emblema_fichas_-_pn_laguna_blanca.png,,#15100F,#50342B,#5C4947,#62666A,#645D36,#858B4D,#8C98A1,#90654D,#91C0E0,#A4A463,#C0646C,#F4DB58
