hex_color,base_color
#042C53,azul
#062C53,azul
#062C59,azul
#072743,azul
#080908,negro
#080A09,negro
#090908,negro
#090909,negro
#090B08,negro
#090C0B,negro
#091B11,negro
#092943,azul
#0A0808,negro
#0A0B08,negro
#0A0C09,negro
#0A0D0B,negro
#0B0E0B,negro
#0B0E0C,negro
#0C0E0D,negro
#0C1015,negro
#0D0C0B,negro
#0D0E0F,negro
#0D0F0F,negro
#0D110C,negro
#0D1210,negro
#0E0E0B,negro
#0F100D,negro
#0F120F,negro
#0F1213,negro
#100F0F,negro
#101414,negro
#110908,negro
#111510,negro
#131717,negro
#140F0E,negro
#141511,negro
#141B0F,negro
#15100F,negro
#161614,negro
#161820,azul
#181312,negro
#1A7183,cian
#1E1B14,negro
#1F5664,cian
#209FB4,cian
#261917,rojo
#292E28,gris
#2A3C54,azul
#2C4C8C,azul
#30444D,cian
#30A6B1,cian
#30B6BD,cian
#315A79,azul
#33676D,cian
#37576D,azul
#38534C,verde
#38B4BC,cian
#396343,verde
#3A271F,marrón
#3A5C69,cian
#3B2820,marrón
#3C2821,marrón
#3C4752,azul
#3C5367,azul
#3C5946,verde
#3C5A74,azul
#3C648C,azul
#3C6A94,azul
#3C6C94,azul
#3C74A4,azul
#3D2820,marrón
#3D2922,marrón
#3D2B24,marrón
#3D4140,gris
#3D6446,verde
#3E2821,rojo
#3E2921,marrón
#3E2922,marrón
#3E3F49,azul
#3E474A,cian
#3E4D55,azul
#3E5941,verde
#3E7494,azul
#3E8C94,cian
#402D24,marrón
#402D25,marrón
#403E46,gris
#405A72,azul
#406C96,azul
#412C23,marrón
#412C24,marrón
#412D24,marrón
#412D25,marrón
#412E25,marrón
#415C6C,azul
#415F68,cian
#422B23,marrón
#422B26,rojo
#422C23,marrón
#422C24,marrón
#422D24,marrón
#422D25,marrón
#422E24,marrón
#422E26,marrón
#422F25,marrón
#422F26,marrón
#424243,gris
#425A69,azul
#426A8C,azul
#432C23,marrón
#432D24,marrón
#433026,marrón
#434C54,azul
#435459,cian
#435C6B,azul
#435E30,verde
#435F77,azul
#43797E,cian
#438A4F,verde
#442C24,marrón
#442D24,marrón
#445454,cian
#445F76,azul
#446471,cian
#44647C,azul
#44687C,azul
#446C7F,cian
#446C84,azul
#446C94,azul
#447461,verde
#44747E,cian
#447484,cian
#44748C,azul
#447494,azul
#44749A,azul
#447C9C,azul
#447CB4,azul
#452E27,rojo
#45444C,gris
#456988,azul
#458089,cian
#462A1E,marrón
#464748,gris
#466054,verde
#472D20,marrón
#473034,rojo
#476371,cian
#482C1E,marrón
#484046,gris
#48533F,verde
#492C20,marrón
#4A3020,marrón
#4A6378,azul
#4B3129,rojo
#4B6441,verde
#4C573D,verde
#4C5F3F,verde
#4C676E,cian
#4C6D56,verde
#4C779D,azul
#4C7BA4,azul
#4C7CAC,azul
#4E3929,marrón
#4E565A,gris
#4E593C,verde
#4E6237,verde
#4F6068,cian
#4F6140,verde
#4F7390,azul
#50342B,rojo
#50553F,verde
#50583E,verde
#505C63,azul
#51473F,marrón
#51574C,gris
#515D49,verde
#5184AE,azul
#52382C,marrón
#523E2B,marrón
#527C58,verde
#53442C,marrón
#535C65,azul
#535E4F,verde
#5381A2,azul
#544A4D,gris
#545641,amarillo
#546068,azul
#547CA4,azul
#555641,amarillo
#555C3F,verde
#555D3A,verde
#556042,verde
#566A7D,azul
#57422E,marrón
#575B45,verde
#575D3C,verde
#575F65,gris
#57646D,azul
#584230,marrón
#587353,verde
#58875E,verde
#5A4E6F,violeta
#5A5D3D,amarillo
#5A5D66,gris
#5A6169,gris
#5B5644,marrón
#5B5F60,gris
#5B6C3C,verde
#5B7D69,verde
#5B7F4C,verde
#5C3E33,marrón
#5C4947,rojo
#5C6060,gris
#5C613B,amarillo
#5C6146,verde
#5C656A,gris
#5C6738,verde
#5C7F76,verde
#5CA1CF,azul
#5D676A,gris
#5E6187,azul
#5E626C,gris
#5E6769,gris
#5E8556,verde
#5F5E42,amarillo
#5F6466,gris
#5F7A6D,verde
#60412B,marrón
#605B65,gris
#60604F,amarillo
#60743D,verde
#615A3F,marrón
#61834E,verde
#618FB5,azul
#626167,gris
#62666A,gris
#628251,verde
#628A99,cian
#628CAD,azul
#635655,gris
#635746,marrón
#63859C,azul
#638C4D,verde
#638C56,verde
#644427,marrón
#644446,rojo
#644B2B,marrón
#644B2E,marrón
#644B35,marrón
#64534A,marrón
#645D36,amarillo
#648040,verde
#65452E,marrón
#65482D,marrón
#654B37,marrón
#656768,gris
#656B66,gris
#664931,marrón
#664A3D,marrón
#666259,gris
#667865,verde
#668352,verde
#668AAA,azul
#673E2F,marrón
#674120,marrón
#675E48,marrón
#676E6B,gris
#677760,verde
#6784A0,azul
#684484,violeta
#684845,rojo
#685943,marrón
#687B5C,verde
#69A1CB,azul
#6A4D39,marrón
#6A5753,rojo
#6A99AF,cian
#6B2925,rojo
#6B6244,marrón
#6B6762,gris
#6B7463,gris
#6B7C52,verde
#6B8E54,verde
#6BA4DB,azul
#6C3F36,rojo
#6C472F,marrón
#6C7548,verde
#6C775C,verde
#6C8062,verde
#6C8F53,verde
#6C92A8,azul
#6D7B4D,verde
#6E3E22,marrón
#6E5033,marrón
#6E695F,gris
#6F201D,rojo
#6F4848,rojo
#6F7251,amarillo
#6F755F,verde
#6FA1B7,cian
#6FC39C,verde
#70706D,gris
#707C56,verde
#70865D,verde
#715B29,marrón
#719D54,verde
#719FB3,cian
#71A1B7,cian
#72494E,rojo
#728792,azul
#72A3CF,azul
#72A8D8,azul
#72A9D8,azul
#72A9D9,azul
#72AAD9,azul
#734E1F,marrón
#736B6C,gris
#738B53,verde
#73A8D6,azul
#74786E,gris
#754332,marrón
#76574A,marrón
#769FB7,azul
#775936,marrón
#77666A,gris
#78634F,marrón
#796F59,marrón
#79949B,cian
#7AABD2,azul
#7B9CA4,cian
#7BABDA,azul
#7BADDD,azul
#7C4C5C,rosa
#7D8454,amarillo
#7E3A1B,marrón
#7E702A,marrón
#7E8670,verde
#7EA4B8,azul
#7F8E43,verde
#7FB7E1,azul
#80524E,rojo
#806838,marrón
#806955,marrón
#808F5C,verde
#80B7E1,azul
#8196A2,azul
#827B6B,marrón
#82C8E9,cian
#834137,rojo
#83859E,azul
#839CAC,azul
#83A8C6,azul
#845B2B,marrón
#846C2B,marrón
#858B4D,amarillo
#887824,amarillo
#888A47,amarillo
#88BCD2,cian
#89846F,marrón
#8998A2,azul
#8AB167,verde
#8ABCDB,azul
#8B96A4,azul
#8BC2E9,azul
#8BCAE1,cian
#8C5F45,marrón
#8C6049,marrón
#8C7035,marrón
#8C7D41,marrón
#8C98A1,gris
#8C9BA7,azul
#8CC0E6,azul
#8CD8EA,cian
#8CDCFB,cian
#8D7432,marrón
#8D744A,marrón
#8D8C53,amarillo
#8E6C58,marrón
#8E7261,marrón
#8E8B52,amarillo
#8EA6B3,azul
#8F8276,marrón
#8F865E,marrón
#8F8965,amarillo
#8F947D,verde
#8FD7EF,cian
#90654D,marrón
#90A5AC,cian
#917344,marrón
#917E4B,marrón
#91A3AC,azul
#91C0E0,azul
#91C6E5,azul
#91D8DD,cian
#92857D,gris
#928A71,marrón
#92928A,gris
#937D51,marrón
#93CBEE,azul
#94965B,amarillo
#949D6B,verde
#94ACB5,cian
#94AE5D,verde
#94B3BC,cian
#94D0F3,azul
#953835,rojo
#957C5F,marrón
#958E5F,amarillo
#959B58,amarillo
#96856F,marrón
#976647,marrón
#977B4C,marrón
#977E5E,marrón
#97A45A,verde
#989568,amarillo
#98C9EA,azul
#997566,marrón
#99884A,marrón
#99BCD1,azul
#99CECA,cian
#9A866D,marrón
#9ACEE7,cian
#9AD0F1,azul
#9BBA73,verde
#9BBECA,cian
#9BD1E3,cian
#9BD2EA,cian
#9BD2ED,cian
#9BD3F3,azul
#9C5546,rojo
#9C6C54,marrón
#9C8F3A,amarillo
#9C9C9C,gris
#9CCAD3,cian
#9CD1E6,cian
#9CD3F2,azul
#9CD3F3,azul
#9CD4F1,azul
#9CD4F3,azul
#9CD4F4,azul
#9DBDB7,verde
#9DD1E9,cian
#9E7746,marrón
#9E7B58,marrón
#9E995A,amarillo
#9ED4F2,azul
#9ED4F3,azul
#9F9586,marrón
#9FC2D5,azul
#A09657,amarillo
#A09E8A,gris
#A0D5F2,azul
#A18934,marrón
#A1D4EF,azul
#A2AE7F,verde
#A2D5F0,azul
#A3A04D,amarillo
#A48439,marrón
#A4907F,marrón
#A4A463,amarillo
#A4CCE0,cian
#A55F63,rojo
#A58971,marrón
#A59075,marrón
#A6B653,amarillo
#A7B470,verde
#A88267,marrón
#A8B06D,amarillo
#A8B44C,amarillo
#A8CFDD,cian
#A91E23,rojo
#AA9A74,marrón
#AAA444,amarillo
#ACB44C,amarillo
#ADAF98,gris
#ADBC5A,amarillo
#AE7446,marrón
#AEAC53,amarillo
#AED7EA,cian
#AFBC51,amarillo
#AFC6C1,gris
#B1713F,marrón
#B1A48B,marrón
#B1A58B,marrón
#B2AB9C,gris
#B2B23C,amarillo
#B2BA84,amarillo
#B3A485,marrón
#B46234,marrón
#B4645E,rojo
#B4747C,rojo
#B47C5C,marrón
#B48C5C,marrón
#B48C64,marrón
#B4943C,marrón
#B4BC4C,amarillo
#B4DC5F,verde
#B68C8E,rojo
#B8C1C7,gris
#BAA53B,amarillo
#BC1C3B,rojo
#BC3F42,rojo
#BC7443,marrón
#BC8442,marrón
#BC847C,rojo
#BC8C5E,marrón
#BC8C7B,marrón
#BC9452,marrón
#BC9484,marrón
#BC9C75,marrón
#BDA49E,rojo
#BECD8E,verde
#BECDD3,gris
#BFA28D,marrón
#C0646C,rojo
#C08257,naranja
#C08667,naranja
#C1C3CA,gris
#C49C74,naranja
#C4A410,amarillo
#C4D4AC,verde
#C4DCAC,verde
#C4DCB2,verde
#C53B45,rojo
#C55B4F,rojo
#C64141,rojo
#C6C9C7,gris
#C6DBAE,verde
#C76334,naranja
#C8557F,rosa
#C8DCAB,verde
#CA6555,rojo
#CABA63,amarillo
#CB1B36,rojo
#CB433E,rojo
#CBC8B6,gris
#CC443A,rojo
#CCB13C,amarillo
#CCCDD4,gris
#CCDCA1,verde
#CDBEB6,gris
#CE412E,rojo
#CEAF8D,naranja
#CED9A1,verde
#D0C091,amarillo
#D2AEB9,rosa
#D3453E,rojo
#D63C32,rojo
#D6C46A,amarillo
#D6E2C0,verde
#D8D6C2,gris
#DA3948,rojo
#DCC762,amarillo
#DDCA53,amarillo
#DEC898,amarillo
#DFC16A,amarillo
#DFEDF7,blanco
#E1DFDB,gris
#E2C37A,amarillo
#E2C967,amarillo
#E3DFD5,gris
#E5C06A,amarillo
#E6C95B,amarillo
#E6D3B3,naranja
#E6E4C8,gris
#E7D144,amarillo
#E7D5BA,naranja
#E8BE53,amarillo
#E9322B,rojo
#EAD05F,amarillo
#EBD150,amarillo
#EBD464,amarillo
#ECCD6F,amarillo
#ECD363,amarillo
#EDD560,amarillo
#EFCD56,amarillo
#EFEBD8,blanco
#F0EDD9,blanco
#F1D311,amarillo
#F2D255,amarillo
#F2D553,amarillo
#F2D653,amarillo
#F2DB5F,amarillo
#F2DB68,amarillo
#F3D64F,amarillo
#F3D653,amarillo
#F3D849,amarillo
#F3E4C0,amarillo
#F4D40B,amarillo
#F4D650,amarillo
#F4D751,amarillo
#F4D94E,amarillo
#F4D955,amarillo
#F4DB58,amarillo
#F5D25E,amarillo
#F5DA50,amarillo
#F5DC57,amarillo
#F6DA54,amarillo
#F6DC17,amarillo
#F6E06D,amarillo
#F7DA4D,amarillo
#F7DB60,amarillo
#F7DC43,amarillo
#F7DC50,amarillo
#F7DC56,amarillo
#F8DC4C,amarillo
#F9DD4C,amarillo
#F9DE4C,amarillo
#F9DE71,amarillo
#F9DF53,amarillo
#FADE4B,amarillo
#FADE4C,amarillo
#FADF4E,amarillo
#FAF3CC,amarillo
#FBE04D,amarillo
